Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,identifier,identifier2
1979,23,82,36.0,8.5,17.8,0.474,0.7,1.7,0.406,7.7,16.1,0.48100000000000004,0.494,3.7,4.4,0.836,2.6,7.8,10.4,4.5,1.7,0.6,3.2,3.4,21.3,20.5,0.5379999999999999,16.0,18.5,2.3,1.0,14.0,25.3,11.2,2.7,2.6,5.3,5.4,14.580000000000002,1,0,4,0.068,1,0,Bird,2
1980,24,82,39.5,8.8,18.3,0.478,0.2,0.9,0.27,8.5,17.4,0.489,0.485,3.5,4.0,0.863,2.3,8.6,10.9,5.5,2.0,0.8,3.5,2.9,21.2,19.9,0.528,15.7,20.4,2.4,1.1,14.9,24.3,10.8,2.1,3.0,5.1,5.8,15.66,1,0,2,0.613,1,1,Bird,2
1981,25,77,38.0,9.2,18.4,0.503,0.1,0.7,0.212,9.1,17.7,0.514,0.507,4.3,4.9,0.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9,22.6,0.557,15.8,22.5,2.3,1.2,13.8,25.2,12.5,4.1,3.3,7.5,7.0,18.9,1,0,2,0.588,1,0,Bird,2
1982,26,79,37.7,9.5,18.7,0.504,0.3,1.0,0.28600000000000003,9.2,17.8,0.516,0.512,4.4,5.3,0.84,2.4,8.6,11.0,5.8,1.9,0.9,3.0,2.5,23.6,24.1,0.561,15.7,22.4,2.3,1.3,12.6,25.0,14.0,4.7,2.9,7.6,7.2,19.44,1,0,2,0.485,1,0,Bird,2
1983,27,79,38.3,9.6,19.5,0.4920000000000001,0.2,0.9,0.247,9.4,18.6,0.504,0.4970000000000001,4.7,5.3,0.888,2.3,7.8,10.1,6.6,1.8,0.9,3.0,2.5,24.2,24.2,0.552,14.9,26.2,2.3,1.3,12.1,26.7,13.6,4.7,3.0,7.8,7.4,19.980000000000004,1,1,1,0.858,1,1,Bird,2
1984,28,80,39.5,11.5,22.0,0.522,0.7,1.6,0.4270000000000001,10.8,20.4,0.529,0.5379999999999999,5.0,5.7,0.882,2.1,8.5,10.5,6.6,1.6,1.2,3.1,2.6,28.7,26.5,0.585,14.7,25.7,1.9,1.7,11.2,28.5,15.7,6.1,2.4,8.5,8.4,22.680000000000003,1,1,1,0.978,1,0,Bird,2
1985,29,82,38.0,9.7,19.6,0.496,1.0,2.4,0.423,8.7,17.2,0.506,0.521,5.4,6.0,0.8959999999999999,2.3,7.5,9.8,6.8,2.0,0.6,3.2,2.2,25.8,25.6,0.58,14.2,26.3,2.5,0.9,12.7,27.6,15.8,6.4,2.8,9.1,8.7,23.49,1,1,1,0.981,1,1,Bird,2
1986,30,74,40.6,10.6,20.2,0.525,1.2,3.0,0.4,9.4,17.2,0.547,0.555,5.6,6.1,0.91,1.7,7.5,9.2,7.6,1.8,0.9,3.2,2.5,28.1,26.4,0.612,12.8,28.6,2.2,1.3,12.4,27.5,15.2,7.1,2.1,9.2,8.5,22.95000000000001,1,0,3,0.34700000000000003,1,0,Bird,2
1987,31,76,39.0,11.6,22.0,0.527,1.3,3.1,0.414,10.3,18.9,0.546,0.556,5.5,6.0,0.9159999999999999,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9,27.8,0.608,14.0,25.7,2.1,1.1,10.2,30.2,15.0,7.5,1.3,8.8,8.1,21.87,1,0,2,0.659,1,0,Bird,2
1988,32,6,31.5,8.2,17.3,0.47100000000000003,0.0,0.0,0.0,8.2,17.3,0.47100000000000003,0.47100000000000003,3.0,3.2,0.9470000000000001,0.2,6.0,6.2,4.8,1.0,0.8,1.8,3.0,19.3,19.8,0.516,11.2,24.3,1.6,1.6,8.9,27.1,0.5,0.6,-0.1,0.5,0.1,0.27,0,0,0,0.0,0,0,Bird,2
1989,33,75,39.3,9.6,20.2,0.473,0.9,2.6,0.33299999999999996,8.7,17.6,0.494,0.495,4.3,4.6,0.93,1.2,8.3,9.5,7.5,1.4,0.8,3.2,2.3,24.3,21.9,0.546,13.4,28.9,1.8,1.2,12.7,27.4,9.5,3.9,2.2,6.1,6.1,16.47,1,0,10,0.005,1,0,Bird,2
1990,34,60,38.0,7.7,17.0,0.45399999999999996,1.3,3.3,0.389,6.4,13.7,0.47,0.4920000000000001,2.7,3.1,0.8909999999999999,0.9,7.6,8.5,7.2,1.8,1.0,3.1,2.0,19.4,19.7,0.53,12.3,25.9,2.3,1.5,14.6,23.7,6.6,2.4,2.3,4.7,3.8,10.26,1,0,9,0.026000000000000002,1,0,Bird,2
1991,35,45,36.9,7.8,16.8,0.466,1.2,2.8,0.406,6.7,14.0,0.478,0.5,3.3,3.6,0.9259999999999999,1.0,8.6,9.6,6.8,0.9,0.7,2.8,1.8,20.2,21.0,0.547,14.4,26.9,1.3,1.2,13.1,24.7,5.5,3.3,2.2,5.5,3.1,8.370000000000001,1,0,14,0.003,1,0,Bird,2
