Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,identifier,identifier2
1998,20,47,20.4,2.9,7.1,0.405,0.3,1.4,0.206,2.6,5.7,0.455,0.426,2.1,2.7,0.773,0.9,2.6,3.4,1.0,0.6,0.6,1.6,2.2,8.2,12.8,0.491,9.5,8.4,1.6,2.0,15.7,22.3,0.8,-2.0,-0.9,-2.9,-0.2,-0.54,0,0,0,0.0,0,0,Dirk,9
1999,21,82,35.8,6.3,13.6,0.461,1.4,3.7,0.379,4.9,9.9,0.491,0.513,3.5,4.2,0.83,1.2,5.2,6.5,2.5,0.8,0.8,1.7,3.1,17.5,17.5,0.564,9.7,10.9,1.1,1.6,10.0,21.2,8.1,2.3,-0.6,1.7,2.7,7.290000000000001,0,0,0,0.0,0,0,Dirk,9
2000,22,82,38.1,7.2,15.2,0.474,1.8,4.8,0.387,5.4,10.5,0.513,0.534,5.5,6.6,0.838,1.5,7.7,9.2,2.1,1.0,1.2,1.9,3.0,21.8,22.8,0.601,13.5,9.4,1.3,2.3,9.5,23.8,14.6,4.3,0.5,4.7,5.3,14.31,0,0,0,0.0,1,0,Dirk,9
2001,23,76,38.0,7.9,16.6,0.477,1.8,4.6,0.397,6.1,11.9,0.508,0.532,5.8,6.8,0.853,1.6,8.4,9.9,2.4,1.1,1.0,1.9,2.9,23.4,24.1,0.599,14.5,10.8,1.5,1.9,8.9,25.5,13.4,4.6,0.1,4.7,4.8,12.96,1,0,8,0.025,1,0,Dirk,9
2002,24,80,39.0,8.6,18.6,0.463,1.9,4.9,0.379,6.8,13.7,0.493,0.513,6.0,6.9,0.881,1.0,8.9,9.9,3.0,1.4,1.0,1.9,2.6,25.1,25.6,0.581,14.0,13.3,1.8,2.0,8.1,27.4,16.1,4.6,1.0,5.7,6.1,16.47,1,0,7,0.036,1,0,Dirk,9
2003,25,77,37.9,7.9,17.0,0.462,1.3,3.8,0.341,6.6,13.2,0.496,0.5,4.8,5.5,0.877,1.2,7.5,8.7,2.7,1.2,1.4,1.8,2.8,21.8,22.5,0.561,12.5,11.3,1.6,2.6,8.3,24.5,11.5,3.5,0.0,3.4,4.0,10.8,1,0,10,0.003,1,0,Dirk,9
2004,26,78,38.7,8.5,18.5,0.459,1.2,2.9,0.399,7.3,15.6,0.47,0.49,7.9,9.1,0.869,1.2,8.5,9.7,3.1,1.2,1.5,2.3,2.8,26.1,26.1,0.578,14.0,14.3,1.7,2.9,9.1,28.7,15.6,4.0,1.7,5.7,5.9,15.930000000000001,1,0,3,0.275,1,0,Dirk,9
2005,27,81,38.1,9.3,19.3,0.48,1.4,3.3,0.406,7.9,16.0,0.496,0.515,6.7,7.4,0.901,1.4,7.6,9.0,2.8,0.7,1.0,1.9,2.0,26.6,28.1,0.589,14.2,14.7,1.0,2.1,7.9,30.0,17.7,5.8,-0.1,5.7,6.0,16.200000000000003,1,0,3,0.435,1,0,Dirk,9
2006,28,78,36.2,8.6,17.2,0.502,0.9,2.2,0.416,7.7,15.0,0.515,0.529,6.4,7.1,0.904,1.6,7.3,8.9,3.4,0.7,0.8,2.1,2.2,24.6,27.6,0.605,14.8,17.8,1.0,1.7,9.5,28.9,16.3,5.4,1.3,6.7,6.2,16.740000000000002,1,1,1,0.882,1,0,Dirk,9
2007,29,77,36.0,8.2,17.1,0.479,1.0,2.9,0.359,7.2,14.2,0.504,0.51,6.2,7.1,0.879,1.2,7.3,8.6,3.5,0.7,0.9,2.1,2.6,23.6,24.6,0.585,13.8,17.8,1.0,1.9,9.3,28.8,12.9,4.2,0.9,5.2,5.0,13.5,1,0,11,0.004,1,0,Dirk,9
2008,30,81,37.7,9.6,20.0,0.479,0.8,2.1,0.359,8.8,17.9,0.493,0.498,6.0,6.7,0.89,1.1,7.3,8.4,2.4,0.8,0.8,1.9,2.2,25.9,23.1,0.564,12.8,12.1,1.0,1.5,7.8,30.3,10.9,1.9,-0.7,1.2,2.4,6.48,1,0,10,0.002,1,0,Dirk,9
2009,31,81,37.5,8.9,18.5,0.481,0.6,1.5,0.421,8.3,17.0,0.487,0.498,6.6,7.2,0.915,1.0,6.7,7.7,2.7,0.9,1.0,1.8,2.6,25.0,22.9,0.578,11.7,13.0,1.2,2.0,7.8,28.8,12.3,2.3,0.3,2.6,3.5,9.450000000000001,1,0,7,0.045,1,0,Dirk,9
2010,32,73,34.3,8.4,16.2,0.517,0.9,2.3,0.393,7.5,13.8,0.538,0.545,5.4,6.1,0.892,0.7,6.3,7.0,2.6,0.5,0.6,1.9,2.4,23.0,23.4,0.612,12.0,14.2,0.8,1.4,9.1,28.2,11.1,3.2,0.6,3.8,3.7,9.990000000000002,1,0,6,0.093,1,1,Dirk,9
2011,33,62,33.5,7.6,16.7,0.457,1.3,3.4,0.368,6.4,13.3,0.481,0.495,5.1,5.7,0.896,0.7,6.0,6.7,2.2,0.7,0.5,1.9,2.1,21.6,21.7,0.564,11.3,12.6,1.1,1.2,9.0,29.2,7.6,2.3,-0.5,1.8,2.0,5.4,1,0,12,0.003,1,0,Dirk,9
2012,34,53,31.3,6.5,13.7,0.471,1.2,3.0,0.414,5.2,10.8,0.487,0.516,3.1,3.6,0.86,0.7,6.2,6.8,2.5,0.7,0.7,1.3,1.8,17.3,19.8,0.564,12.2,13.5,1.2,1.7,7.9,24.2,5.0,1.7,0.0,1.7,1.5,4.050000000000001,0,0,0,0.0,0,0,Dirk,9
2013,35,80,32.9,7.9,15.9,0.497,1.6,4.1,0.398,6.3,11.8,0.532,0.549,4.2,4.7,0.899,0.5,5.7,6.2,2.7,0.9,0.6,1.5,2.1,21.7,23.6,0.603,10.9,14.2,1.4,1.4,7.5,26.9,10.9,4.1,-0.8,3.3,3.5,9.450000000000001,1,0,14,0.006,1,0,Dirk,9
