Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,identifier,identifier2
1984,22,82,35.5,8.3,15.3,0.5379999999999999,0.0,0.0,0.0,8.3,15.3,0.5379999999999999,0.5379999999999999,4.1,6.7,0.613,5.4,6.5,11.9,1.4,1.2,2.7,2.9,4.2,20.6,21.1,0.564,18.7,5.3,1.6,4.3,13.5,23.5,10.2,2.0,1.4,3.4,4.0,10.8,1,0,12,0.015,1,0,Dream,5
1985,23,68,36.3,9.2,17.5,0.526,0.0,0.0,0.0,9.2,17.5,0.526,0.526,5.1,7.9,0.645,4.9,6.6,11.5,2.0,2.0,3.4,2.9,4.0,23.5,24.2,0.56,17.1,8.0,2.5,5.2,12.0,25.6,9.5,2.8,2.5,5.3,4.6,12.42,1,0,4,0.247,1,0,Dream,5
1986,24,75,36.8,9.0,17.8,0.508,0.0,0.1,0.2,9.0,17.7,0.509,0.509,5.3,7.6,0.7020000000000001,4.2,7.2,11.4,2.9,1.9,3.4,3.0,3.9,23.4,23.8,0.5539999999999999,17.1,12.6,2.4,5.3,12.6,26.8,10.9,2.5,4.0,6.6,6.0,16.200000000000006,1,0,7,0.036000000000000004,1,0,Dream,5
1987,25,79,35.8,9.0,17.5,0.514,0.0,0.1,0.0,9.0,17.5,0.516,0.514,4.8,6.9,0.695,3.8,8.3,12.1,2.1,2.1,2.7,3.1,4.1,22.8,23.4,0.555,17.7,9.2,2.7,4.2,13.0,26.5,10.7,1.7,3.3,5.0,5.0,13.5,1,0,7,0.05,1,0,Dream,5
1988,26,82,36.9,9.6,19.0,0.508,0.0,0.1,0.0,9.6,18.9,0.511,0.508,5.5,8.0,0.696,4.1,9.4,13.5,1.8,2.6,3.4,3.4,4.0,24.8,25.2,0.552,19.8,8.2,3.3,5.5,13.0,28.2,12.4,1.3,4.1,5.4,5.6,15.12,1,0,5,0.21100000000000002,1,0,Dream,5
1989,27,82,38.1,9.8,19.6,0.501,0.0,0.1,0.16699999999999998,9.8,19.5,0.502,0.501,4.7,6.5,0.713,3.6,10.4,14.0,2.9,2.1,4.6,3.9,3.8,24.3,24.1,0.541,19.5,12.1,2.6,7.0,14.6,28.1,11.2,0.1,5.8,5.9,6.3,17.01,1,0,7,0.07,1,0,Dream,5
1990,28,56,36.8,8.7,17.1,0.508,0.0,0.1,0.0,8.7,17.1,0.51,0.508,3.8,4.9,0.769,3.9,9.8,13.8,2.3,2.2,3.9,3.1,3.9,21.2,24.3,0.5489999999999999,19.9,10.2,2.9,6.4,13.9,25.0,8.6,0.4,5.9,6.3,4.3,11.61,0,0,18,0.004,1,0,Dream,5
1991,29,70,37.7,8.4,16.8,0.502,0.0,0.0,0.0,8.4,16.8,0.503,0.502,4.7,6.1,0.7659999999999999,3.5,8.6,12.1,2.2,1.8,4.3,2.7,3.8,21.6,23.7,0.5529999999999999,17.8,9.9,2.4,6.8,12.0,25.6,9.8,0.7,4.3,5.0,4.7,12.69,1,0,0,0.0,0,0,Dream,5
1992,30,82,39.5,10.3,19.5,0.529,0.0,0.1,0.0,10.3,19.5,0.532,0.529,5.4,7.0,0.779,3.5,9.6,13.0,3.5,1.8,4.2,3.2,3.7,26.1,27.3,0.5770000000000001,18.7,15.8,2.4,6.5,12.4,28.8,15.8,3.0,5.4,8.4,8.5,22.95000000000001,1,0,2,0.66,1,0,Dream,5
1993,31,80,41.0,11.2,21.2,0.528,0.1,0.2,0.42100000000000004,11.1,20.9,0.529,0.53,4.9,6.8,0.716,2.9,9.1,11.9,3.6,1.6,3.7,3.4,3.6,27.3,25.3,0.565,16.2,16.4,2.0,5.7,12.3,29.8,14.3,2.2,4.7,7.0,7.4,19.980000000000004,1,1,1,0.88,1,1,Dream,5
