Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,identifier,identifier2
2003,22,61,34.9,6.1,13.1,0.465,0.3,0.9,0.302,5.8,12.2,0.477,0.475,3.8,5.1,0.747,1.4,2.7,4.0,4.5,1.4,0.6,3.2,2.3,16.2,17.6,0.53,6.8,25.1,2.2,1.3,17.3,25.0,4.6,0.9,0.4,1.3,1.8,4.86,0,0,0,0.0,1,0,Flash,12
2004,23,77,38.6,8.2,17.1,0.478,0.2,0.6,0.289,8.0,16.5,0.485,0.483,7.5,9.9,0.762,1.4,3.7,5.2,6.8,1.6,1.1,4.2,3.0,24.1,23.1,0.561,7.8,31.0,2.2,2.0,16.3,30.9,11.0,3.1,1.4,4.4,4.8,12.96,1,0,8,0.034,1,0,Flash,12
2005,24,75,38.6,9.3,18.8,0.495,0.2,1.0,0.171,9.1,17.8,0.513,0.499,8.4,10.7,0.783,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9,27.2,27.6,0.577,8.7,33.0,2.6,1.5,13.2,32.5,14.4,5.9,1.6,7.5,7.0,18.900000000000002,1,0,6,0.07,1,1,Flash,12
2006,25,51,37.9,9.3,18.9,0.491,0.4,1.5,0.266,8.8,17.3,0.511,0.502,8.5,10.5,0.807,1.0,3.7,4.7,7.5,2.1,1.2,4.2,2.3,27.4,28.9,0.583,7.3,40.5,3.0,2.5,15.3,34.7,8.8,6.5,1.9,8.4,5.1,13.77,1,0,12,0.002,1,0,Flash,12
2007,26,51,38.3,8.6,18.4,0.469,0.4,1.5,0.286,8.2,16.9,0.485,0.48,6.9,9.2,0.758,0.9,3.3,4.2,6.9,1.7,0.7,4.4,2.7,24.6,21.5,0.549,6.6,37.5,2.4,1.5,16.4,33.1,3.3,3.0,0.0,3.0,2.5,6.75,1,0,0,0.0,0,0,Flash,12
2008,27,79,38.6,10.8,22.0,0.491,1.1,3.5,0.317,9.7,18.5,0.524,0.516,7.5,9.8,0.765,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2,30.4,0.574,7.8,40.3,3.0,2.8,11.6,36.2,14.7,8.7,2.0,10.7,9.7,26.19,1,0,3,0.562,1,0,Flash,12
2009,28,77,36.3,9.3,19.6,0.476,0.9,3.2,0.3,8.4,16.5,0.509,0.5,6.9,9.1,0.761,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6,28.0,0.562,7.8,36.4,2.7,2.4,12.2,34.9,13.0,7.4,2.0,9.4,8.0,21.6,1,0,5,0.097,1,0,Flash,12
2010,29,76,37.1,9.1,18.2,0.5,0.8,2.7,0.306,8.3,15.5,0.534,0.523,6.5,8.6,0.758,1.6,4.8,6.4,4.6,1.5,1.1,3.1,2.6,25.5,25.6,0.581,10.2,23.5,2.1,2.4,12.4,31.6,12.8,4.4,1.5,5.9,5.7,15.390000000000002,1,0,7,0.02,1,0,Flash,12
2011,30,49,33.2,8.5,17.1,0.497,0.3,1.1,0.268,8.2,15.9,0.513,0.506,4.8,6.1,0.791,1.5,3.3,4.8,4.6,1.7,1.3,2.6,2.2,22.1,26.3,0.559,8.7,27.3,2.7,3.1,11.8,31.3,7.7,4.5,1.8,6.3,3.4,9.18,1,0,10,0.005,1,1,Flash,12
2012,31,69,34.7,8.2,15.8,0.521,0.2,1.0,0.258,8.0,14.9,0.537,0.528,4.5,6.2,0.725,1.2,3.7,5.0,5.1,1.9,0.8,2.8,2.0,21.2,24.0,0.571,8.9,26.6,2.8,1.9,13.2,29.5,9.6,2.8,1.1,3.9,3.5,9.450000000000001,1,0,10,0.004,1,1,Flash,12
2013,32,54,32.9,7.7,14.1,0.545,0.2,0.6,0.281,7.5,13.5,0.557,0.551,3.5,4.8,0.733,1.1,3.4,4.5,4.7,1.5,0.5,3.0,2.0,19.0,22.0,0.588,8.5,25.5,2.3,1.4,15.5,27.9,5.5,1.9,0.3,2.3,1.9,5.13,1,0,0,0.0,1,0,Flash,12
2014,33,62,31.8,8.2,17.5,0.47,0.5,1.6,0.284,7.7,15.8,0.489,0.483,4.6,6.0,0.768,0.9,2.6,3.5,4.8,1.2,0.3,3.4,1.7,21.5,21.4,0.534,6.7,32.1,2.0,0.9,14.4,34.7,3.5,2.4,-1.2,1.2,1.6,4.32,1,0,0,0.0,0,0,Flash,12
2015,34,74,30.5,7.3,16.0,0.456,0.1,0.6,0.159,7.2,15.4,0.468,0.459,4.4,5.5,0.793,1.1,3.0,4.1,4.6,1.1,0.6,2.7,1.6,19.0,20.3,0.517,7.6,27.4,1.8,1.4,13.0,31.6,4.9,0.9,-0.1,0.8,1.6,4.32,1,0,0,0.0,1,0,Flash,12
2016,35,60,29.9,6.9,15.9,0.434,0.8,2.4,0.31,6.2,13.5,0.456,0.457,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,18.5,0.508,8.1,22.3,2.4,1.8,11.3,29.6,3.4,0.4,0.6,1.0,1.3,3.5100000000000002,0,0,0,0.0,1,0,Flash,12
2017,36,67,22.9,4.5,10.2,0.438,0.5,1.7,0.288,4.0,8.5,0.468,0.462,2.0,2.8,0.714,0.7,3.0,3.8,3.4,0.9,0.7,2.1,1.9,11.4,15.0,0.5,9.2,23.5,2.0,2.6,15.5,26.2,1.1,-2.4,0.3,-2.1,0.0,0.0,0,0,0,0.0,1,0,Flash,12
