Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,identifier,identifier2
1981,20,72,33.8,6.3,14.8,0.424,0.2,0.8,0.28800000000000003,6.1,14.0,0.4320000000000001,0.4320000000000001,4.2,6.0,0.7040000000000001,0.8,2.1,2.9,7.8,2.1,0.2,4.2,3.5,17.0,14.5,0.48700000000000004,4.7,32.6,2.8,0.4,19.2,25.0,2.3,-0.2,-0.9,-1.0,0.6,1.62,1,0,17,0.004,0,0,Zeke,3
1982,21,81,38.2,9.0,19.0,0.47200000000000003,0.4,1.5,0.28800000000000003,8.5,17.4,0.488,0.483,4.5,6.4,0.71,1.3,2.8,4.0,7.8,2.5,0.4,4.0,3.9,22.9,18.9,0.525,5.5,30.3,2.9,0.5,15.6,26.1,7.4,3.1,-0.7,2.4,3.4,9.18,1,0,16,0.005,0,0,Zeke,3
1983,22,82,36.7,8.2,17.7,0.462,0.3,0.8,0.33799999999999997,7.9,16.9,0.46799999999999997,0.47,4.7,6.5,0.733,1.3,2.7,4.0,11.1,2.5,0.4,3.7,4.0,21.3,20.9,0.52,5.8,41.5,3.1,0.6,15.4,25.4,9.1,4.2,0.0,4.3,4.7,12.69,1,0,5,0.151,1,0,Zeke,3
1984,23,81,38.1,8.0,17.4,0.45799999999999996,0.4,1.4,0.257,7.6,16.0,0.47600000000000003,0.46799999999999997,4.9,6.1,0.809,1.4,3.0,4.5,13.9,2.3,0.3,3.7,3.6,21.2,22.2,0.529,6.1,47.9,2.8,0.4,15.7,24.0,11.2,5.2,0.0,5.2,5.6,15.12,1,0,9,0.081,1,0,Zeke,3
1985,24,77,36.2,7.9,16.2,0.488,0.3,1.1,0.31,7.6,15.1,0.501,0.498,4.7,6.0,0.79,1.1,2.5,3.6,10.8,2.2,0.3,3.8,3.2,20.9,21.2,0.5539999999999999,5.3,40.7,2.8,0.4,16.6,24.4,8.8,4.5,-0.5,4.0,4.3,11.61,1,0,9,0.036000000000000004,1,0,Zeke,3
1986,25,81,37.2,7.7,16.7,0.46299999999999997,0.2,1.2,0.19399999999999998,7.5,15.5,0.484,0.47,4.9,6.4,0.768,1.0,2.9,3.9,10.0,1.9,0.2,4.2,3.1,20.6,18.8,0.528,5.7,39.3,2.4,0.4,17.8,25.9,7.6,2.8,0.2,3.0,3.8,10.26,1,0,8,0.022000000000000002,1,0,Zeke,3
1987,26,81,36.1,7.7,16.6,0.46299999999999997,0.4,1.2,0.309,7.3,15.4,0.475,0.474,3.8,4.9,0.774,0.8,2.6,3.4,8.4,1.7,0.2,3.4,2.7,19.5,18.2,0.521,5.3,35.0,2.4,0.3,15.3,25.4,7.6,2.4,0.1,2.5,3.3,8.91,1,0,12,0.004,1,0,Zeke,3
1988,27,80,36.6,7.1,15.3,0.46399999999999997,0.4,1.5,0.273,6.7,13.8,0.485,0.47700000000000004,3.6,4.4,0.818,0.6,2.8,3.4,8.3,1.7,0.3,3.7,2.6,18.2,17.1,0.528,5.3,34.3,2.3,0.4,17.7,24.6,7.0,1.7,0.5,2.2,3.1,8.370000000000001,1,0,17,0.001,1,1,Zeke,3
1989,28,81,37.0,7.1,16.3,0.43799999999999994,0.5,1.7,0.309,6.6,14.6,0.45299999999999996,0.45399999999999996,3.6,4.7,0.775,0.9,2.9,3.8,9.4,1.7,0.2,4.0,2.5,18.4,17.3,0.501,5.9,39.4,2.4,0.4,17.8,26.0,6.7,1.6,0.9,2.5,3.4,9.18,1,0,13,0.001,1,1,Zeke,3
1990,29,48,34.5,6.0,13.9,0.435,0.4,1.4,0.292,5.6,12.5,0.45,0.449,3.7,4.8,0.782,0.7,2.6,3.3,9.3,1.6,0.2,3.9,2.5,16.2,17.4,0.507,5.5,42.6,2.4,0.4,19.5,25.2,3.4,1.6,0.2,1.8,1.6,4.32,1,0,13,0.011000000000000001,1,0,Zeke,3
1991,30,78,37.4,7.2,16.2,0.446,0.3,1.1,0.29100000000000004,6.9,15.1,0.45799999999999996,0.456,3.7,4.8,0.772,0.9,2.3,3.2,7.2,1.5,0.2,3.2,2.5,18.5,16.0,0.505,4.8,31.3,2.1,0.3,15.0,25.3,5.8,1.0,-0.2,0.8,2.1,5.670000000000001,1,0,0,0.0,1,0,Zeke,3
1992,31,79,37.0,6.7,15.9,0.418,0.8,2.5,0.308,5.9,13.4,0.439,0.442,3.5,4.8,0.737,0.9,2.0,2.9,8.5,1.6,0.2,3.6,2.8,17.6,15.4,0.488,4.4,35.6,2.2,0.4,16.6,25.1,3.7,1.0,-0.8,0.2,1.6,4.32,1,0,0,0.0,0,0,Zeke,3
1993,32,58,30.2,5.5,13.2,0.41700000000000004,0.7,2.2,0.31,4.8,11.0,0.43799999999999994,0.442,3.1,4.4,0.7020000000000001,0.8,1.9,2.7,6.9,1.2,0.1,3.5,2.2,14.8,15.2,0.488,5.0,36.7,2.0,0.2,18.7,27.0,0.2,0.3,-2.4,-2.0,0.0,0.0,0,0,0,0.0,0,0,Zeke,3
