Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,identifier,identifier2
1996,21,76,40.1,8.2,19.8,0.416,2.0,6.0,0.341,6.2,13.8,0.448,0.467,5.0,7.2,0.702,1.5,2.6,4.1,7.5,2.1,0.3,4.4,3.1,23.5,18.0,0.513,5.6,33.6,2.6,0.6,16.2,28.9,4.1,3.4,-2.0,1.5,2.7,7.290000000000001,0,0,17,0.001,0,0,The Answer,7
1997,22,80,39.4,8.1,17.6,0.461,0.9,2.9,0.298,7.2,14.7,0.494,0.486,4.9,6.7,0.729,1.1,2.6,3.7,6.2,2.2,0.3,3.1,2.5,22.0,20.4,0.535,5.4,30.6,3.0,0.6,12.9,26.9,9.0,4.5,-0.7,3.8,4.6,12.42,0,0,0,0.0,0,0,The Answer,7
1998,23,48,41.5,9.1,22.0,0.412,1.2,4.1,0.291,7.9,17.9,0.44,0.439,7.4,9.9,0.751,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2.0,26.8,22.2,0.508,6.9,24.2,3.0,0.3,11.7,32.6,7.2,4.9,-0.3,4.6,3.3,8.91,0,0,4,0.27,0,0,The Answer,7
1999,24,70,40.8,10.4,24.8,0.421,1.3,3.7,0.341,9.1,21.0,0.435,0.446,6.3,8.9,0.713,1.0,2.8,3.8,4.7,2.1,0.1,3.3,2.3,28.4,20.0,0.496,5.2,23.0,2.6,0.1,10.3,34.4,6.9,3.4,-0.8,2.6,3.3,8.91,1,0,7,0.109,0,0,The Answer,7
2000,25,71,42.0,10.7,25.5,0.42,1.4,4.3,0.32,9.4,21.2,0.441,0.447,8.2,10.1,0.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,24.0,0.518,5.2,23.0,3.2,0.5,10.0,35.9,11.8,5.0,-0.1,4.8,5.1,13.77,1,1,1,0.904,1,0,The Answer,7
2001,26,60,43.7,11.1,27.8,0.398,1.3,4.5,0.291,9.8,23.4,0.419,0.422,7.9,9.8,0.812,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,31.4,21.9,0.489,5.8,27.6,3.5,0.4,11.0,37.8,6.9,3.7,0.2,3.8,3.9,10.530000000000001,1,0,9,0.023,1,0,The Answer,7
2002,27,82,42.5,9.8,23.7,0.414,1.0,3.7,0.277,8.8,20.0,0.44,0.436,7.0,9.0,0.774,0.8,3.4,4.2,5.5,2.7,0.2,3.5,1.8,27.6,21.2,0.5,5.8,25.1,3.4,0.3,11.2,32.9,9.2,3.1,-0.3,2.8,4.2,11.340000000000002,1,0,6,0.07,1,0,The Answer,7
2003,28,48,42.5,9.1,23.4,0.387,1.2,4.1,0.286,7.9,19.3,0.408,0.412,7.1,9.5,0.745,0.7,3.0,3.7,6.8,2.4,0.1,4.4,1.8,26.4,19.3,0.478,5.1,34.4,3.1,0.2,13.6,35.3,2.8,3.1,-0.6,2.5,2.3,6.21,1,0,0,0.0,0,0,The Answer,7
2004,29,75,42.3,10.3,24.2,0.424,1.4,4.5,0.308,8.9,19.7,0.451,0.453,8.7,10.5,0.835,0.7,3.3,4.0,7.9,2.4,0.1,4.6,1.9,30.7,23.2,0.532,5.3,37.6,2.9,0.2,13.7,35.0,9.0,4.8,-0.5,4.3,5.0,13.5,1,0,5,0.189,1,0,The Answer,7
2005,30,72,43.1,11.3,25.3,0.447,1.0,3.1,0.323,10.3,22.2,0.465,0.467,9.4,11.5,0.814,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33.0,25.9,0.543,4.4,34.9,2.3,0.2,10.2,35.8,10.6,6.0,-2.5,3.5,4.3,11.61,1,0,10,0.001,0,0,The Answer,7
2006,31,65,42.5,8.9,20.2,0.442,1.0,3.0,0.315,8.0,17.2,0.465,0.466,7.5,9.4,0.795,0.4,2.6,3.0,7.2,1.9,0.2,4.1,1.5,26.3,19.6,0.54,4.0,29.6,2.2,0.3,14.5,29.3,6.2,2.2,-1.5,0.8,1.9,5.13,1,0,0,0.0,1,0,The Answer,7
2007,32,82,41.8,8.7,19.0,0.458,1.2,3.4,0.345,7.5,15.6,0.482,0.488,7.9,9.7,0.809,0.6,2.4,3.0,7.1,2.0,0.1,3.0,1.3,26.4,20.9,0.567,3.8,27.4,2.2,0.2,11.4,26.7,11.6,3.5,-1.9,1.6,3.1,8.370000000000001,1,0,0,0.0,1,0,The Answer,7
2008,33,57,36.7,6.1,14.6,0.417,0.5,1.7,0.283,5.6,12.9,0.435,0.434,4.8,6.1,0.781,0.5,2.5,3.0,5.0,1.5,0.1,2.6,1.5,17.5,15.8,0.504,4.9,23.1,2.3,0.2,12.9,25.7,2.9,0.0,-0.7,-0.7,0.7,1.89,1,0,0,0.0,0,0,The Answer,7
2009,34,28,30.9,4.9,11.3,0.43,0.3,0.9,0.36,4.5,10.4,0.436,0.445,3.7,4.7,0.794,0.6,2.3,2.8,4.0,0.7,0.1,2.3,1.7,13.8,13.4,0.515,5.4,21.0,1.2,0.2,14.6,23.0,0.7,-1.4,-2.8,-4.2,-0.5,-1.35,1,0,0,0.0,0,0,The Answer,7
