web-scraper-order,web-scraper-start-url,Season▲,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1538068772-82,https://www.basketball-reference.com/players/a/abdulka01.html,,22,MIL,NBA,C,82,,3534,,,,,,,,,,,,,,,,,,,,,,,1969-70,22,MIL,NBA,C,82,3534,22.5,0.552,,0.41,,,,13.1,,,,,9.3,4.5,13.8,0.187,,,,
1538068772-42,https://www.basketball-reference.com/players/a/abdulka01.html,null,22,MIL,NBA,C,82,,43.1,11.4,22.1,0.518,,,,11.4,22.1,0.518,0.518,5.9,9.1,0.653,,,14.5,4.1,,,,3.5,28.8,,22,MIL,NBA,C,82,43.1,,,,,,,,,,,,,,,,,,,,
1538068772-43,https://www.basketball-reference.com/players/a/abdulka01.html,null,23,MIL,NBA,C,82,,40.1,13,22.5,0.577,,,,13,22.5,0.577,0.577,5.7,8.3,0.69,,,16,3.3,,,,3.2,31.7,,23,MIL,NBA,C,82,40.1,,,,,,,,,,,,,,,,,,,,
1538068772-83,https://www.basketball-reference.com/players/a/abdulka01.html,,23,MIL,NBA,C,82,,3288,,,,,,,,,,,,,,,,,,,,,,,1970-71,23,MIL,NBA,C,82,3288,29,0.606,,0.37,,,18.9,12.2,,,,,17,5.3,22.3,0.326,,,,
1538068772-84,https://www.basketball-reference.com/players/a/abdulka01.html,,24,MIL,NBA,C,81,,3583,,,,,,,,,,,,,,,,,,,,,,,1971-72,24,MIL,NBA,C,81,3583,29.9,0.603,,0.363,,,18.1,16.1,,,,,18.3,7.1,25.4,0.34,,,,
1538068772-44,https://www.basketball-reference.com/players/a/abdulka01.html,null,24,MIL,NBA,C,81,,44.2,14.3,24.9,0.574,,,,14.3,24.9,0.574,0.574,6.2,9,0.689,,,16.6,4.6,,,,2.9,34.8,,24,MIL,NBA,C,81,44.2,,,,,,,,,,,,,,,,,,,,
1538068772-45,https://www.basketball-reference.com/players/a/abdulka01.html,null,25,MIL,NBA,C,76,,42.8,12.9,23.3,0.554,,,,12.9,23.3,0.554,0.554,4.3,6.1,0.713,,,16.1,5,,,,2.7,30.2,,25,MIL,NBA,C,76,42.8,,,,,,,,,,,,,,,,,,,,
1538068772-85,https://www.basketball-reference.com/players/a/abdulka01.html,,25,MIL,NBA,C,76,,3254,,,,,,,,,,,,,,,,,,,,,,,1972-73,25,MIL,NBA,C,76,3254,28.5,0.58,,0.26,,,18.2,17.9,,,,,14.4,7.5,21.9,0.322,,,,
1538068772-86,https://www.basketball-reference.com/players/a/abdulka01.html,,26,MIL,NBA,C,81,,3548,,,,,,,,,,,,,,,,,,,,,,,1973-74,26,MIL,NBA,C,81,3548,24.4,0.564,,0.239,8.8,23.9,16.9,16.1,1.4,4,,,10.6,7.9,18.4,0.25,4.9,3.6,8.5,9.4
1538068772-46,https://www.basketball-reference.com/players/a/abdulka01.html,null,26,MIL,NBA,C,81,,43.8,11.7,21.7,0.539,,,,11.7,21.7,0.539,0.539,3.6,5.2,0.702,3.5,11,14.5,4.8,1.4,3.5,,2.9,27,,26,MIL,NBA,C,81,43.8,,,,,,,,,,,,,,,,,,,,
1538068772-47,https://www.basketball-reference.com/players/a/abdulka01.html,null,27,MIL,NBA,C,65,,42.3,12.5,24.4,0.513,,,,12.5,24.4,0.513,0.513,5,6.6,0.763,3,11,14,4.1,1,3.3,,3.2,30,,27,MIL,NBA,C,65,42.3,,,,,,,,,,,,,,,,,,,,
1538068772-87,https://www.basketball-reference.com/players/a/abdulka01.html,,27,MIL,NBA,C,65,,2747,,,,,,,,,,,,,,,,,,,,,,,1974-75,27,MIL,NBA,C,65,2747,26.4,0.55,,0.269,7.6,26.4,17.3,16.7,1.1,4,,,8.1,4.8,12.9,0.225,5.9,2.2,8,7
