Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,identifier,identifier2
2007,19,80,34.6,7.3,17.1,0.43,0.7,2.6,0.28800000000000003,6.6,14.5,0.455,0.451,4.9,5.6,0.873,0.9,3.5,4.4,2.4,1.0,0.9,2.9,1.5,20.3,15.8,0.519,6.9,12.0,1.4,1.9,12.9,28.1,2.3,-0.6,-0.7,-1.4,0.4,1.08,0,0,0,0.0,0,0,Slim Reaper,13
2008,20,74,39.0,8.9,18.8,0.47600000000000003,1.3,3.1,0.42200000000000004,7.6,15.7,0.486,0.51,6.1,7.1,0.863,1.0,5.5,6.5,2.8,1.3,0.7,3.0,1.8,25.3,20.8,0.5770000000000001,9.6,13.5,1.7,1.4,12.2,28.3,7.9,2.2,-0.5,1.8,2.8,7.56,0,0,0,0.0,0,0,Slim Reaper,13
2009,21,82,39.5,9.7,20.3,0.47600000000000003,1.6,4.3,0.365,8.1,16.1,0.506,0.514,9.2,10.2,0.9,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,26.2,0.607,11.0,13.5,1.8,1.9,11.7,32.0,16.1,4.9,0.2,5.1,5.8,15.66,1,0,2,0.495,1,0,Slim Reaper,13
2010,22,78,38.9,9.1,19.7,0.462,1.9,5.3,0.35,7.3,14.4,0.504,0.509,7.6,8.7,0.88,0.7,6.1,6.8,2.7,1.1,1.0,2.8,2.0,27.7,23.6,0.589,10.3,13.2,1.5,1.8,10.6,30.6,12.0,3.7,-0.8,2.9,3.7,9.990000000000002,1,0,5,0.157,1,0,Slim Reaper,13
2011,23,66,38.6,9.7,19.7,0.496,2.0,5.2,0.387,7.7,14.4,0.535,0.547,6.5,7.6,0.86,0.6,7.4,8.0,3.5,1.3,1.2,3.8,2.0,28.0,26.2,0.61,11.8,17.5,1.8,2.2,14.0,31.3,12.2,4.7,0.5,5.2,4.6,12.42,1,0,2,0.735,1,0,Slim Reaper,13
2012,24,81,38.5,9.0,17.7,0.51,1.7,4.1,0.41600000000000004,7.3,13.6,0.539,0.5589999999999999,8.4,9.3,0.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1,28.3,0.647,11.8,21.7,1.9,2.6,13.7,29.8,18.9,6.2,1.4,7.7,7.6,20.52,1,0,2,0.632,1,0,Slim Reaper,13
2013,25,81,38.5,10.5,20.8,0.503,2.4,6.1,0.391,8.1,14.8,0.5489999999999999,0.56,8.7,9.9,0.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,29.8,0.635,10.8,26.7,1.7,1.5,12.2,33.0,19.2,8.4,0.4,8.8,8.5,22.95000000000001,1,1,1,0.986,1,0,Slim Reaper,13
2014,26,27,33.8,8.8,17.3,0.51,2.4,5.9,0.40299999999999997,6.4,11.4,0.565,0.578,5.4,6.3,0.8540000000000001,0.6,6.0,6.6,4.1,0.9,0.9,2.7,1.5,25.4,27.6,0.633,10.4,22.2,1.3,2.2,12.0,29.1,4.8,6.3,-0.2,6.1,1.9,5.13,1,0,0,0.0,0,0,Slim Reaper,13
2015,27,72,35.8,9.7,19.2,0.505,2.6,6.7,0.387,7.1,12.5,0.569,0.573,6.2,6.9,0.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2,28.2,0.634,12.4,24.2,1.3,2.5,13.5,30.6,14.5,7.0,0.9,7.9,6.4,17.28,1,0,5,0.11199999999999999,1,0,Slim Reaper,13
2016,28,62,33.4,8.9,16.5,0.537,1.9,5.0,0.375,7.0,11.5,0.608,0.594,5.4,6.2,0.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,27.6,0.6509999999999999,13.6,23.1,1.5,3.8,10.4,27.8,12.0,5.4,2.6,8.0,5.2,14.04,1,0,9,0.002,1,1,Slim Reaper,13
2017,29,68,34.2,9.3,18.0,0.516,2.5,6.1,0.419,6.7,11.9,0.565,0.586,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3.0,2.0,26.4,26.0,0.64,11.2,25.5,1.0,4.0,12.9,30.4,10.4,5.0,0.7,5.6,4.5,12.15,1,0,7,0.065,1,1,Slim Reaper,13
