Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,identifier,identifier2
1996,18,71,15.5,2.5,5.9,0.41700000000000004,0.7,1.9,0.375,1.8,4.0,0.4370000000000001,0.47700000000000004,1.9,2.3,0.8190000000000001,0.7,1.2,1.9,1.3,0.7,0.3,1.6,1.4,7.6,14.4,0.544,6.8,13.8,2.3,1.6,18.5,24.7,1.8,-0.9,-0.8,-1.7,0.1,0.27,0,0,0,0.0,1,0,Black Mamba,10
1997,19,79,26.0,4.9,11.6,0.428,0.9,2.8,0.341,4.0,8.8,0.456,0.469,4.6,5.8,0.794,1.0,2.1,3.1,2.5,0.9,0.5,2.0,2.3,15.4,18.5,0.5479999999999999,6.7,16.0,1.8,1.3,12.4,27.2,6.3,1.9,-1.7,0.2,1.1,2.9700000000000006,1,0,0,0.0,1,0,Black Mamba,10
1998,20,50,37.9,7.2,15.6,0.465,0.5,2.0,0.267,6.7,13.6,0.494,0.48200000000000004,4.9,5.8,0.8390000000000001,1.1,4.2,5.3,3.8,1.4,1.0,3.1,3.1,19.9,18.9,0.5489999999999999,8.1,17.5,2.0,1.9,14.7,25.3,5.2,2.0,0.3,2.3,2.1,5.670000000000001,0,0,0,0.0,1,0,Black Mamba,10
1999,21,66,38.2,8.4,17.9,0.46799999999999997,0.7,2.2,0.319,7.7,15.7,0.489,0.488,5.0,6.1,0.821,1.6,4.7,6.3,4.9,1.6,0.9,2.8,3.3,22.5,21.7,0.546,8.8,22.4,2.2,1.7,11.8,26.8,10.6,3.6,1.7,5.3,4.7,12.69,1,0,12,0.002,1,1,Black Mamba,10
2000,22,68,40.9,10.3,22.2,0.46399999999999997,0.9,2.9,0.305,9.4,19.3,0.489,0.484,7.0,8.2,0.853,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5,24.5,0.552,8.1,23.0,2.1,1.1,11.1,31.8,11.3,5.3,-1.0,4.2,4.4,11.880000000000004,1,0,9,0.009000000000000001,1,1,Black Mamba,10
2001,23,80,38.3,9.4,20.0,0.469,0.4,1.7,0.25,9.0,18.3,0.489,0.479,6.1,7.4,0.8290000000000001,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9,25.2,23.2,0.544,7.9,25.9,2.0,0.8,10.7,30.4,12.7,4.4,0.1,4.4,5.0,13.5,1,0,5,0.078,1,1,Black Mamba,10
2002,24,82,41.5,10.6,23.5,0.451,1.5,4.0,0.38299999999999995,9.1,19.5,0.465,0.483,7.3,8.7,0.843,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7,30.0,26.2,0.55,9.3,27.2,2.8,1.4,11.4,32.9,14.9,6.1,0.3,6.4,7.1,19.17,1,0,3,0.41700000000000004,1,0,Black Mamba,10
2003,25,65,37.6,7.9,18.1,0.43799999999999994,1.1,3.3,0.327,6.8,14.8,0.46299999999999997,0.46799999999999997,7.0,8.2,0.852,1.6,3.9,5.5,5.1,1.7,0.4,2.6,2.7,24.0,23.7,0.551,8.3,24.4,2.4,0.8,10.8,29.1,10.7,5.5,0.2,5.7,4.7,12.69,1,0,5,0.172,1,0,Black Mamba,10
2004,26,66,40.7,8.7,20.1,0.433,2.0,5.9,0.33899999999999997,6.7,14.2,0.47200000000000003,0.48200000000000004,8.2,10.1,0.816,1.4,4.5,5.9,6.0,1.3,0.8,4.1,2.6,27.6,23.3,0.563,8.2,28.5,1.7,1.4,14.3,31.7,8.1,5.6,-1.0,4.6,4.5,12.15,1,0,0,0.0,0,0,Black Mamba,10
2005,27,80,41.0,12.2,27.2,0.45,2.3,6.5,0.34700000000000003,10.0,20.7,0.48200000000000004,0.491,8.7,10.2,0.85,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,28.0,0.5589999999999999,7.6,24.1,2.4,0.7,9.0,38.7,15.3,7.3,-1.5,5.8,6.5,17.55,1,0,4,0.386,1,0,Black Mamba,10
