Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,identifier,identifier2
2003,19,79,39.5,7.9,18.9,0.41700000000000004,0.8,2.7,0.29,7.1,16.1,0.43799999999999994,0.43799999999999994,4.4,5.8,0.754,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9,20.9,18.3,0.488,7.6,27.8,2.2,1.3,13.9,28.2,5.1,2.2,-0.2,1.9,3.1,8.370000000000001,0,0,9,0.009000000000000001,0,0,The King,11
2004,20,80,42.4,9.9,21.1,0.47200000000000003,1.4,3.9,0.35100000000000003,8.6,17.2,0.499,0.504,6.0,8.0,0.75,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8,27.2,25.7,0.5539999999999999,10.2,32.9,2.8,1.1,11.8,29.7,14.3,6.9,1.5,8.3,8.8,23.760000000000005,1,0,6,0.073,0,0,The King,11
2005,21,79,42.5,11.1,23.1,0.48,1.6,4.8,0.335,9.5,18.3,0.518,0.515,7.6,10.3,0.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,28.1,0.568,9.8,32.8,2.0,1.5,10.7,33.6,16.3,7.9,1.4,9.3,9.5,25.65,1,0,2,0.55,1,0,The King,11
2006,22,78,40.9,9.9,20.8,0.47600000000000003,1.3,4.0,0.319,8.6,16.8,0.513,0.507,6.3,9.0,0.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,24.5,0.552,9.6,29.1,2.1,1.3,11.5,31.0,13.7,5.4,2.0,7.4,7.6,20.52,1,0,5,0.142,1,0,The King,11
2007,23,75,40.4,10.6,21.9,0.484,1.5,4.8,0.315,9.1,17.1,0.531,0.518,7.3,10.3,0.7120000000000001,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,29.1,0.568,11.1,37.3,2.4,2.1,11.4,33.5,15.2,9.0,2.3,11.2,10.1,27.27,1,0,4,0.348,1,0,The King,11
2008,24,81,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,31.7,0.591,11.9,38.0,2.4,2.4,11.0,33.8,20.3,9.4,3.6,13.0,11.6,31.32,1,1,1,0.9690000000000001,1,0,The King,11
2009,25,76,39.0,10.1,20.1,0.503,1.7,5.1,0.33299999999999996,8.4,15.0,0.56,0.545,7.8,10.2,0.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,31.1,0.604,11.1,41.8,2.2,2.0,12.3,33.5,18.5,9.7,2.8,12.5,10.9,29.430000000000003,1,1,1,0.98,1,0,The King,11
2010,26,79,38.8,9.6,18.8,0.51,1.2,3.5,0.33,8.4,15.3,0.552,0.541,6.4,8.4,0.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7,27.3,0.594,11.4,34.9,2.1,1.3,13.8,31.5,15.6,6.5,2.1,8.6,8.2,22.14,1,0,3,0.431,1,0,The King,11
2011,27,62,37.5,10.0,18.9,0.531,0.9,2.4,0.36200000000000004,9.1,16.5,0.556,0.5539999999999999,6.2,8.1,0.7709999999999999,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,30.7,0.605,12.6,33.6,2.6,1.7,13.3,32.0,14.5,8.3,2.7,11.0,7.6,20.52,1,1,1,0.888,1,1,The King,11
2012,28,76,37.9,10.1,17.8,0.565,1.4,3.3,0.406,8.7,14.5,0.602,0.603,5.3,7.0,0.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,31.6,0.64,13.1,36.4,2.4,1.9,12.4,30.2,19.3,9.2,2.4,11.6,9.8,26.460000000000004,1,1,1,0.998,1,1,The King,11
