Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,identifier,identifier2
1979,20,77,36.3,6.5,12.3,0.53,0.1,0.4,0.226,6.4,11.9,0.54,0.534,4.9,6.0,0.81,2.2,5.6,7.7,7.3,2.4,0.5,4.0,2.8,18.0,20.6,0.602,11.6,25.2,3.1,0.8,20.9,20.9,10.5,3.3,2.2,5.5,5.3,14.31,1,0,0,0.0,1,1,Magic,1
1980,21,37,37.1,8.4,15.9,0.532,0.1,0.5,0.17600000000000002,8.4,15.4,0.542,0.534,4.6,6.1,0.76,2.7,5.9,8.6,8.6,3.4,0.7,3.9,2.7,21.6,25.7,0.5820000000000001,12.7,31.8,4.3,1.0,17.2,24.3,6.4,5.7,3.6,9.2,3.9,10.53,0,0,11,0.026000000000000002,1,0,Magic,1
1981,22,78,38.3,7.1,13.3,0.537,0.1,0.4,0.207,7.1,12.9,0.546,0.54,4.2,5.6,0.76,3.2,6.4,9.6,9.5,2.7,0.4,3.7,2.9,18.6,22.9,0.59,13.7,31.0,3.2,0.6,18.9,20.1,12.9,5.1,3.2,8.3,7.8,21.06,1,0,8,0.09699999999999999,1,1,Magic,1
1982,23,79,36.8,6.5,11.8,0.5479999999999999,0.0,0.3,0.0,6.5,11.5,0.56,0.5479999999999999,3.8,4.8,0.8,2.7,5.9,8.6,10.5,2.2,0.6,3.8,2.5,16.8,23.0,0.603,13.0,34.4,2.8,0.9,21.5,19.0,12.5,5.1,2.3,7.4,6.9,18.630000000000006,1,0,3,0.406,1,0,Magic,1
1983,24,67,38.3,6.6,11.6,0.565,0.1,0.4,0.207,6.5,11.2,0.579,0.569,4.3,5.3,0.81,1.5,5.9,7.3,13.1,2.2,0.7,4.6,2.5,17.6,22.6,0.628,10.8,42.5,2.7,1.0,24.6,19.5,10.2,4.1,1.9,6.1,5.2,14.04,1,0,3,0.401,1,0,Magic,1
1984,25,77,36.1,6.5,11.7,0.561,0.1,0.5,0.18899999999999997,6.5,11.2,0.5770000000000001,0.565,5.1,6.0,0.843,1.2,5.0,6.2,12.6,1.5,0.3,4.0,2.0,18.3,23.2,0.637,9.7,42.5,1.9,0.5,21.7,20.5,12.7,4.9,0.5,5.4,5.2,14.04,1,0,2,0.33799999999999997,1,1,Magic,1
1985,26,72,35.8,6.7,12.8,0.526,0.1,0.6,0.233,6.6,12.2,0.541,0.532,5.3,6.0,0.871,1.2,4.7,5.9,12.6,1.6,0.2,3.8,1.8,18.8,24.0,0.61,9.4,45.1,2.0,0.3,19.8,21.6,12.1,5.3,0.7,5.9,5.2,14.04,1,0,3,0.263,1,0,Magic,1
1986,27,80,36.3,8.5,16.4,0.522,0.1,0.5,0.205,8.4,15.9,0.532,0.525,6.7,7.9,0.848,1.5,4.8,6.3,12.2,1.7,0.5,3.8,2.1,23.9,27.0,0.602,9.7,47.2,2.2,0.7,15.9,26.3,15.9,7.2,0.9,8.1,7.4,19.980000000000004,1,1,1,0.94,1,1,Magic,1
1987,28,72,36.6,6.8,13.8,0.4920000000000001,0.2,0.8,0.196,6.7,13.1,0.51,0.4970000000000001,5.8,6.8,0.853,1.2,5.0,6.2,11.9,1.6,0.2,3.7,2.0,19.6,23.1,0.581,9.7,45.4,2.1,0.3,18.2,23.4,10.9,4.7,0.6,5.3,4.9,13.230000000000002,1,0,3,0.635,1,1,Magic,1
1988,29,77,37.5,7.5,14.8,0.509,0.8,2.4,0.314,6.8,12.3,0.5479999999999999,0.535,6.7,7.3,0.9109999999999999,1.4,6.4,7.9,12.8,1.8,0.3,4.1,2.2,22.5,26.9,0.625,11.7,48.6,2.3,0.4,18.4,24.3,16.1,7.9,1.4,9.3,8.2,22.14,1,1,1,0.762,1,0,Magic,1
1989,30,79,37.2,6.9,14.4,0.48,1.3,3.5,0.384,5.6,10.9,0.51,0.526,7.2,8.1,0.89,1.6,5.0,6.6,11.5,1.7,0.4,3.7,2.1,22.3,26.6,0.622,10.2,45.5,2.2,0.7,16.9,24.8,16.5,8.6,1.0,9.5,8.5,22.95000000000001,1,1,1,0.691,1,0,Magic,1
1990,31,79,37.1,5.9,12.4,0.47700000000000004,1.0,3.2,0.32,4.9,9.2,0.532,0.518,6.6,7.3,0.9059999999999999,1.3,5.6,7.0,12.5,1.3,0.2,4.0,1.9,19.4,25.1,0.623,10.9,49.3,1.8,0.3,20.4,22.9,15.4,7.1,1.2,8.3,7.6,20.52,1,0,2,0.518,1,0,Magic,1
1995,36,32,29.9,4.3,9.2,0.466,0.7,1.8,0.379,3.6,7.4,0.48700000000000004,0.503,5.4,6.3,0.856,1.3,4.5,5.7,6.9,0.8,0.4,3.2,1.5,14.6,21.1,0.612,11.1,34.1,1.4,1.0,21.2,22.7,3.6,2.9,0.3,3.2,1.3,3.51,0,0,12,0.0007,1,0,Magic,1
