Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,identifier,identifier2
1984,21,82,38.3,10.2,19.8,0.515,0.1,0.6,0.17300000000000001,10.1,19.2,0.526,0.518,7.7,9.1,0.845,2.0,4.5,6.5,5.9,2.4,0.8,3.5,3.5,28.2,25.8,0.5920000000000001,9.8,25.3,3.0,1.3,13.0,29.8,14.0,6.8,1.4,8.2,8.1,21.87,1,0,6,0.172,1,1,Air Jordan,4
1985,22,18,25.1,8.3,18.2,0.457,0.2,1.0,0.16699999999999998,8.2,17.2,0.474,0.462,5.8,6.9,0.84,1.3,2.3,3.6,2.9,2.1,1.2,2.5,2.6,22.7,27.5,0.5329999999999999,8.0,21.7,3.9,2.7,10.5,38.6,1.5,5.1,-0.5,4.7,0.8,2.16,1,0,0,0.0,1,1,Air Jordan,4
1986,23,82,40.0,13.4,27.8,0.48200000000000004,0.1,0.8,0.182,13.2,27.0,0.491,0.484,10.2,11.9,0.857,2.0,3.2,5.2,4.6,2.9,1.5,3.3,2.9,37.1,29.8,0.562,7.4,22.2,3.6,2.3,9.1,38.3,16.9,8.0,0.6,8.6,8.8,23.760000000000005,1,0,2,0.5670000000000001,1,1,Air Jordan,4
1987,24,82,40.4,13.0,24.4,0.535,0.1,0.6,0.132,13.0,23.7,0.546,0.537,8.8,10.5,0.841,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35.0,31.7,0.603,7.8,27.0,3.9,2.4,9.6,34.1,21.2,9.8,2.3,12.2,11.8,31.86000000000001,1,0,1,0.831,1,1,Air Jordan,4
1988,25,81,40.2,11.9,22.2,0.5379999999999999,0.3,1.2,0.276,11.6,21.0,0.5529999999999999,0.546,8.3,9.8,0.85,1.8,6.2,8.0,8.0,2.9,0.8,3.6,3.0,32.5,31.1,0.614,11.6,34.7,3.6,1.2,11.9,32.1,19.8,9.8,2.7,12.6,12.0,32.40000000000001,1,0,2,0.7040000000000001,1,1,Air Jordan,4
1989,26,82,39.0,12.6,24.0,0.526,1.1,3.0,0.376,11.5,21.0,0.5479999999999999,0.55,7.2,8.5,0.848,1.7,5.1,6.9,6.3,2.8,0.7,3.0,2.9,33.6,31.2,0.606,10.4,28.6,3.5,1.1,9.8,33.7,19.0,9.7,0.8,10.6,10.1,27.27,1,0,3,0.613,1,1,Air Jordan,4
1990,27,82,37.0,12.1,22.4,0.539,0.4,1.1,0.312,11.7,21.3,0.551,0.547,7.0,8.2,0.851,1.4,4.6,6.0,5.5,2.7,1.0,2.5,2.8,31.5,31.6,0.605,9.5,25.2,3.7,1.7,8.7,32.9,20.3,8.9,1.8,10.8,9.8,26.460000000000004,1,1,1,0.9279999999999999,1,1,Air Jordan,4
1991,28,80,38.8,11.8,22.7,0.519,0.3,1.3,0.27,11.5,21.5,0.5329999999999999,0.526,6.1,7.4,0.8320000000000001,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1,27.7,0.579,9.5,25.7,3.0,1.5,8.8,31.7,17.7,6.9,1.7,8.6,8.3,22.410000000000004,1,1,1,0.938,1,1,Air Jordan,4
1992,29,78,39.3,12.7,25.7,0.495,1.0,2.9,0.35200000000000004,11.7,22.7,0.514,0.515,6.1,7.3,0.8370000000000001,1.7,5.0,6.7,5.5,2.8,0.8,2.7,2.4,32.6,29.7,0.564,9.8,25.2,3.7,1.3,8.4,34.7,17.2,8.3,1.2,9.5,8.9,24.03,1,0,3,0.5770000000000001,1,1,Air Jordan,4
1994,31,17,39.3,9.8,23.8,0.41100000000000003,0.9,1.9,0.5,8.8,21.9,0.40299999999999997,0.431,6.4,8.0,0.8009999999999999,1.5,5.4,6.9,5.3,1.8,0.8,2.1,2.8,26.9,22.1,0.493,10.3,24.2,2.3,1.5,7.0,33.2,2.3,2.0,0.7,2.7,0.8,2.16,0,0,11,0.011000000000000001,1,1,Air Jordan,4
1995,32,82,37.7,11.2,22.6,0.495,1.4,3.2,0.4270000000000001,9.8,19.4,0.506,0.525,6.7,8.0,0.8340000000000001,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,30.4,29.4,0.5820000000000001,10.2,21.2,3.1,1.0,8.4,33.3,20.4,7.2,1.4,8.6,8.3,22.410000000000004,1,1,1,0.986,1,1,Air Jordan,4
1996,33,82,37.9,11.2,23.1,0.486,1.4,3.6,0.374,9.9,19.5,0.507,0.516,5.9,7.0,0.833,1.4,4.5,5.9,4.3,1.7,0.5,2.0,1.9,29.6,27.8,0.5670000000000001,8.8,21.2,2.4,1.1,7.2,33.2,18.3,6.5,0.2,6.7,6.8,18.36,1,0,2,0.8320000000000001,1,1,Air Jordan,4
1997,34,82,38.8,10.7,23.1,0.465,0.4,1.5,0.23800000000000002,10.4,21.5,0.48200000000000004,0.473,6.9,8.8,0.784,1.6,4.2,5.8,3.5,1.7,0.5,2.3,1.8,28.7,25.2,0.5329999999999999,8.5,18.0,2.4,1.0,7.7,33.7,15.8,4.6,0.0,4.6,5.3,14.31,1,1,1,0.934,1,1,Air Jordan,4
2001,38,60,34.9,9.2,22.1,0.41600000000000004,0.2,0.9,0.18899999999999997,9.0,21.2,0.426,0.42,4.4,5.6,0.79,0.8,4.8,5.7,5.2,1.4,0.4,2.7,2.0,22.9,20.7,0.46799999999999997,9.4,30.8,2.2,0.9,9.9,36.0,3.3,2.3,0.1,2.4,2.4,6.48,1,0,13,0.013000000000000001,0,0,Air Jordan,4
2002,39,82,37.0,8.3,18.6,0.445,0.2,0.7,0.29100000000000004,8.1,18.0,0.45,0.45,3.2,4.0,0.821,0.9,5.2,6.1,3.8,1.5,0.5,2.1,2.1,20.0,19.3,0.491,9.7,21.1,2.2,1.0,9.4,28.7,6.2,0.9,0.1,1.0,2.3,6.21,1,0,0,0.0,0,0,Air Jordan,4
