Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,identifier,identifier2
1992,20,81,37.9,9.0,16.1,0.562,0.0,0.0,0.0,9.0,16.1,0.563,0.562,5.3,8.9,0.5920000000000001,4.2,9.6,13.9,1.9,0.7,3.5,3.8,4.0,23.4,22.9,0.584,20.6,8.5,1.0,5.7,15.9,27.0,10.4,0.9,2.8,3.7,4.4,11.880000000000004,1,0,7,0.031,0,0,Shaq,6
1993,21,81,39.8,11.8,19.6,0.599,0.0,0.0,0.0,11.8,19.6,0.6,0.599,5.8,10.5,0.5539999999999999,4.7,8.5,13.2,2.4,0.9,2.9,2.7,3.5,29.3,28.5,0.605,18.7,11.0,1.2,4.5,10.2,29.0,16.9,5.4,1.2,6.6,7.1,19.17,1,0,4,0.28600000000000003,1,0,Shaq,6
1994,22,79,37.0,11.8,20.2,0.583,0.0,0.1,0.0,11.8,20.1,0.585,0.583,5.8,10.8,0.5329999999999999,4.2,7.3,11.4,2.7,0.9,2.4,2.6,3.3,29.3,28.6,0.588,17.6,13.3,1.3,4.5,9.4,31.9,14.0,4.5,0.9,5.4,5.4,14.580000000000002,1,0,2,0.5760000000000001,1,0,Shaq,6
1995,23,54,36.0,11.0,19.1,0.573,0.0,0.0,0.5,10.9,19.1,0.573,0.574,4.6,9.5,0.48700000000000004,3.4,7.7,11.0,2.9,0.6,2.1,2.9,3.6,26.6,26.4,0.57,17.8,15.9,0.9,4.4,11.0,32.8,6.9,2.3,1.1,3.5,2.7,7.290000000000001,1,0,9,0.055999999999999994,1,0,Shaq,6
1996,24,51,38.1,10.8,19.4,0.557,0.0,0.1,0.0,10.8,19.4,0.5589999999999999,0.557,4.5,9.4,0.484,3.8,8.7,12.5,3.1,0.9,2.9,2.9,3.5,26.2,27.1,0.556,18.8,17.3,1.2,5.8,10.8,31.1,8.0,2.9,3.3,6.3,4.0,10.8,1,0,9,0.006,1,0,Shaq,6
1997,25,60,36.3,11.2,19.1,0.584,0.0,0.0,0.0,11.2,19.1,0.584,0.584,6.0,11.4,0.527,3.5,7.9,11.4,2.4,0.7,2.4,2.9,3.2,28.3,28.8,0.5870000000000001,17.7,13.5,0.9,4.6,10.8,32.9,10.2,3.8,0.8,4.6,3.6,9.72,1,0,4,0.268,1,0,Shaq,6
1998,26,49,34.8,10.4,18.1,0.5760000000000001,0.0,0.0,0.0,10.4,18.0,0.5770000000000001,0.5760000000000001,5.5,10.2,0.54,3.8,6.9,10.7,2.3,0.7,1.7,2.5,3.2,26.3,30.6,0.584,18.0,14.4,1.1,3.5,10.0,32.4,9.0,6.2,0.1,6.3,3.6,9.72,0,0,6,0.075,1,0,Shaq,6
1999,27,79,40.0,12.1,21.1,0.574,0.0,0.0,0.0,12.1,21.1,0.575,0.574,5.5,10.4,0.524,4.3,9.4,13.6,3.8,0.5,3.0,2.8,3.2,29.7,30.6,0.578,18.3,19.3,0.6,5.3,9.9,31.2,18.6,6.2,3.5,9.7,9.3,25.11000000000001,1,1,1,0.998,1,1,Shaq,6
2000,28,74,39.5,11.0,19.2,0.5720000000000001,0.0,0.0,0.0,11.0,19.2,0.573,0.5720000000000001,6.7,13.1,0.513,3.9,8.8,12.7,3.7,0.6,2.8,2.9,3.5,28.7,30.2,0.574,18.1,18.8,0.8,4.9,10.5,31.6,14.9,5.7,1.6,7.3,6.8,18.36,1,0,3,0.466,1,1,Shaq,6
2001,29,67,36.1,10.6,18.3,0.579,0.0,0.0,0.0,10.6,18.3,0.58,0.579,5.9,10.7,0.555,3.5,7.2,10.7,3.0,0.6,2.0,2.6,3.0,27.2,29.7,0.59,16.3,16.4,0.9,4.1,10.0,31.8,13.2,5.5,1.5,7.0,5.5,14.85,1,0,3,0.552,1,1,Shaq,6
2002,30,67,37.8,10.4,18.1,0.574,0.0,0.0,0.0,10.4,18.1,0.574,0.574,6.7,10.8,0.622,3.9,7.2,11.1,3.1,0.6,2.4,2.9,3.4,27.5,29.5,0.602,16.5,16.2,0.8,4.5,11.4,30.2,13.2,5.5,0.8,6.3,5.3,14.31,1,0,5,0.106,1,0,Shaq,6
2003,31,67,36.8,8.3,14.1,0.584,0.0,0.0,0.0,8.3,14.1,0.584,0.584,4.9,10.1,0.49,3.7,7.8,11.5,2.9,0.5,2.5,2.9,3.4,21.5,24.4,0.578,17.7,14.8,0.7,5.0,13.5,26.3,9.9,2.8,2.6,5.4,4.6,12.42,1,0,6,0.145,1,0,Shaq,6
2004,32,73,34.1,9.0,15.0,0.601,0.0,0.0,0.0,9.0,15.0,0.601,0.601,4.8,10.5,0.461,3.5,6.9,10.4,2.7,0.5,2.3,2.8,3.6,22.9,27.0,0.583,17.8,15.7,0.8,5.0,12.4,30.5,11.0,3.3,2.3,5.6,4.7,12.69,1,0,2,0.813,1,0,Shaq,6
2005,33,59,30.6,8.1,13.6,0.6,0.0,0.0,0.0,8.1,13.6,0.6,0.6,3.7,8.0,0.469,2.9,6.3,9.2,1.9,0.4,1.8,2.8,3.9,20.0,24.4,0.586,17.6,12.4,0.7,4.4,14.3,30.0,6.2,1.4,1.2,2.6,2.1,5.670000000000001,1,0,0,0.0,1,1,Shaq,6
2006,34,40,28.4,7.1,12.0,0.591,0.0,0.0,0.0,7.1,12.0,0.591,0.591,3.1,7.4,0.42200000000000004,2.4,5.0,7.4,2.0,0.2,1.4,2.4,3.5,17.3,21.7,0.5670000000000001,15.4,14.3,0.4,3.8,13.5,29.4,2.8,0.4,0.4,0.9,0.8,2.16,1,0,12,0.002,1,0,Shaq,6
2007,35,61,28.7,5.4,9.1,0.593,0.0,0.0,0.0,5.4,9.1,0.593,0.593,2.8,5.5,0.503,2.7,6.4,9.1,1.5,0.5,1.4,3.0,3.7,13.6,17.1,0.589,18.4,9.1,0.9,3.7,20.4,23.5,2.8,-2.0,1.3,-0.7,0.6,1.62,0,0,0,0.0,1,0,Shaq,6
2008,36,75,30.0,6.8,11.2,0.609,0.0,0.0,0.0,6.8,11.2,0.61,0.609,4.1,6.9,0.595,2.5,5.9,8.4,1.7,0.7,1.4,2.2,3.4,17.8,22.3,0.623,16.4,8.9,1.1,3.5,13.6,24.2,7.8,1.7,0.3,2.0,2.3,6.21,1,0,0,0.0,0,0,Shaq,6
2009,37,53,23.4,4.9,8.7,0.5660000000000001,0.0,0.0,0.0,4.9,8.7,0.5670000000000001,0.5660000000000001,2.1,4.3,0.496,1.8,4.9,6.7,1.5,0.3,1.2,2.0,3.2,12.0,17.9,0.565,17.0,11.3,0.6,3.9,15.7,25.1,3.1,-1.9,1.4,-0.5,0.5,1.35,0,0,0,0.0,1,0,Shaq,6
2010,38,37,20.3,3.6,5.4,0.667,0.0,0.0,0.0,3.6,5.4,0.667,0.667,2.0,3.5,0.557,1.3,3.5,4.8,0.7,0.4,1.1,1.5,3.2,9.2,17.4,0.659,14.6,5.9,1.1,4.4,17.8,20.1,2.7,-1.1,2.6,1.5,0.7,1.89,1,0,0,0.0,1,0,Shaq,6
