Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,identifier,identifier2
1997,21,82,39.1,8.6,15.7,0.5489999999999999,0.0,0.1,0.0,8.6,15.6,0.5529999999999999,0.5489999999999999,3.9,5.9,0.662,3.3,8.6,11.9,2.7,0.7,2.5,3.4,3.1,21.1,22.6,0.5770000000000001,17.6,13.7,0.9,4.5,15.7,26.0,12.8,1.8,3.7,5.5,6.0,16.200000000000006,1,0,5,0.128,1,0,The Big Fundamental,8
1998,22,50,39.3,8.4,16.9,0.495,0.0,0.1,0.14300000000000002,8.3,16.8,0.498,0.495,4.9,7.2,0.69,3.2,8.2,11.4,2.4,0.9,2.5,2.9,2.9,21.7,23.2,0.541,16.3,12.1,1.2,4.4,12.7,27.2,8.7,1.5,3.4,4.9,3.4,9.18,0,0,3,0.627,1,1,The Big Fundamental,8
1999,23,74,38.9,8.5,17.3,0.49,0.0,0.1,0.091,8.5,17.2,0.494,0.491,6.2,8.1,0.7609999999999999,3.5,8.9,12.4,3.2,0.9,2.2,3.3,2.8,23.2,24.8,0.555,18.1,15.5,1.2,4.0,13.5,28.7,13.0,2.6,3.5,6.1,5.9,15.93,1,0,5,0.205,0,0,The Big Fundamental,8
2000,24,82,38.7,8.6,17.1,0.499,0.1,0.3,0.259,8.5,16.8,0.504,0.502,5.0,8.1,0.618,3.2,9.0,12.2,3.0,0.9,2.3,3.0,3.0,22.2,23.8,0.536,17.8,15.3,1.2,4.2,12.5,28.7,13.2,1.8,3.6,5.4,5.9,15.93,1,0,2,0.569,1,0,The Big Fundamental,8
2001,25,82,40.6,9.3,18.3,0.508,0.0,0.1,0.1,9.3,18.2,0.511,0.508,6.8,8.5,0.799,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5,27.0,0.5760000000000001,18.0,18.3,1.0,4.3,12.7,29.0,17.8,3.9,3.8,7.6,8.1,21.87,1,1,1,0.757,1,0,The Big Fundamental,8
2002,26,81,39.3,8.8,17.2,0.513,0.1,0.3,0.273,8.7,16.9,0.517,0.515,5.6,7.8,0.71,3.2,9.7,12.9,3.9,0.7,2.9,3.1,2.9,23.3,26.9,0.564,19.0,19.5,0.9,5.2,12.9,28.0,16.5,3.3,4.2,7.4,7.6,20.52,1,1,1,0.8079999999999999,1,1,The Big Fundamental,8
2003,27,69,36.6,8.6,17.1,0.501,0.0,0.2,0.16699999999999998,8.6,16.9,0.505,0.502,5.1,8.5,0.599,3.3,9.2,12.4,3.1,0.9,2.7,2.7,2.4,22.3,27.1,0.534,19.0,17.4,1.3,5.3,11.3,29.7,13.1,2.4,4.9,7.3,5.9,15.93,1,0,2,0.5820000000000001,1,0,The Big Fundamental,8
2004,28,66,33.4,7.8,15.8,0.496,0.0,0.1,0.33299999999999996,7.8,15.7,0.498,0.498,4.6,6.9,0.67,3.1,8.0,11.1,2.7,0.7,2.6,1.9,2.2,20.3,27.0,0.54,19.4,16.1,1.1,5.7,9.3,28.9,11.2,1.9,4.5,6.4,4.7,12.69,1,0,4,0.258,1,1,The Big Fundamental,8
2005,29,80,34.8,7.2,14.8,0.484,0.0,0.1,0.4,7.2,14.8,0.485,0.485,4.2,6.7,0.629,2.9,8.1,11.0,3.2,0.9,2.0,2.5,2.7,18.6,23.1,0.523,18.7,16.5,1.4,4.2,12.2,27.7,10.8,0.2,4.3,4.6,4.6,12.42,1,0,8,0.026000000000000002,1,0,The Big Fundamental,8
2006,30,80,34.1,7.7,14.1,0.546,0.0,0.1,0.111,7.7,14.0,0.55,0.547,4.5,7.1,0.637,2.7,7.9,10.6,3.4,0.8,2.4,2.8,2.5,20.0,26.1,0.579,18.8,18.8,1.3,5.1,14.0,27.9,13.0,2.0,5.1,7.1,6.3,17.01,1,0,4,0.222,1,1,The Big Fundamental,8
2007,31,78,34.0,7.5,15.1,0.4970000000000001,0.0,0.1,0.0,7.5,15.1,0.498,0.4970000000000001,4.3,5.9,0.73,3.0,8.3,11.3,2.8,0.7,1.9,2.3,2.4,19.3,24.4,0.546,19.6,15.7,1.1,4.3,11.4,28.2,11.1,0.7,4.1,4.7,4.5,12.15,1,0,7,0.02,1,0,The Big Fundamental,8
2008,32,75,33.7,7.4,14.8,0.504,0.0,0.0,0.0,7.4,14.7,0.505,0.504,4.5,6.4,0.6920000000000001,2.7,8.0,10.7,3.5,0.5,1.7,2.2,2.3,19.3,24.4,0.5489999999999999,18.9,19.3,0.8,3.7,11.1,28.5,10.1,1.1,3.5,4.6,4.2,11.340000000000002,1,0,11,0.002,1,0,The Big Fundamental,8
2009,33,78,31.3,7.2,13.9,0.518,0.0,0.1,0.182,7.2,13.7,0.522,0.519,3.5,4.8,0.725,2.8,7.3,10.1,3.2,0.6,1.5,1.8,1.9,17.9,24.7,0.56,18.9,17.8,1.0,3.5,10.1,26.0,10.9,2.4,3.2,5.6,4.7,12.69,1,0,0,0.0,1,0,The Big Fundamental,8
2010,34,76,28.4,5.5,11.0,0.5,0.0,0.1,0.0,5.5,11.0,0.502,0.5,2.4,3.4,0.716,2.2,6.7,8.9,2.7,0.7,1.9,1.6,1.6,13.4,21.9,0.537,18.3,15.7,1.2,4.8,11.4,22.9,7.7,-0.1,3.9,3.8,3.2,8.64,1,0,0,0.0,1,0,The Big Fundamental,8
2011,35,58,28.2,6.2,12.6,0.4920000000000001,0.0,0.1,0.0,6.2,12.6,0.495,0.4920000000000001,3.0,4.3,0.695,1.9,7.1,9.0,2.3,0.7,1.5,1.7,1.7,15.4,22.5,0.531,18.3,13.5,1.2,3.9,10.3,26.2,5.9,-0.2,2.6,2.4,1.8,4.86,0,0,14,0.002,1,0,The Big Fundamental,8
2012,36,69,30.1,7.1,14.1,0.502,0.0,0.1,0.28600000000000003,7.1,14.0,0.504,0.503,3.6,4.3,0.8170000000000001,1.8,8.1,9.9,2.7,0.7,2.7,2.1,1.7,17.8,24.4,0.5539999999999999,19.1,15.5,1.2,6.4,11.7,27.8,8.3,-0.5,4.6,4.1,3.2,8.64,1,0,7,0.052000000000000005,1,0,The Big Fundamental,8
2013,37,74,29.2,6.0,12.2,0.49,0.0,0.1,0.0,6.0,12.2,0.493,0.49,3.1,4.3,0.731,2.1,7.6,9.7,3.0,0.6,1.9,2.1,1.8,15.1,21.3,0.535,18.8,16.0,1.0,4.6,13.2,25.2,7.4,-0.9,4.0,3.2,2.8,7.56,0,0,12,0.017,1,1,The Big Fundamental,8
2014,38,77,28.9,5.4,10.6,0.512,0.0,0.1,0.28600000000000003,5.4,10.5,0.514,0.513,3.0,4.0,0.74,2.2,6.9,9.1,3.0,0.8,2.0,1.7,2.1,13.9,22.6,0.56,17.9,16.8,1.4,5.1,12.1,22.2,9.6,0.8,4.7,5.5,4.2,11.340000000000002,1,0,10,0.001,1,0,The Big Fundamental,8
2015,39,61,25.2,3.5,7.2,0.488,0.0,0.0,0.0,3.5,7.2,0.49,0.488,1.5,2.1,0.7020000000000001,1.9,5.4,7.3,2.7,0.8,1.3,1.5,2.0,8.6,16.9,0.523,16.6,15.3,1.6,3.9,15.3,17.6,5.2,-0.8,5.0,4.1,2.4,6.48,0,0,0,0.0,1,0,The Big Fundamental,8
